"","U01","cohort","dames","sires","labanimalid","accessid","sex","rfid","dob","dow","shipmentdate","litternumber","littersize","coatcolor","earpunch","rack","shipmentbox","shipmentage","weanage","comment","resolution"
"1","Kalivas_Italy","01","73171_2","73182_1","IT001","73769_1","M","933000320046158",2018-12-24,2019-01-14,2019-02-04 00:00:00,1,8,"ALBINO","LT","D-A1","1",42,21,"Original shipment date 2019-01-29 (held 1 week due to heat)",NA
"2","Kalivas_Italy","01","73190_2","73425_2","IT002","73768_3","M","933000320046172",2018-12-24,2019-01-14,2019-02-04 00:00:00,1,9,"BLACK HOOD","RM","D-A1","1",42,21,"Original shipment date 2019-01-29 (held 1 week due to heat)",NA
"3","Kalivas_Italy","01","73412_1","73169_1","IT005","73767_3","M","933000320046170",2018-12-24,2019-01-14,2019-02-04 00:00:00,1,9,"ALBINO","LM","D-A2","1",42,21,"Original shipment date 2019-01-29 (held 1 week due to heat)",NA
"4","Kalivas_Italy","01","72778_4","72782_3","IT006","73777_1","M","933000320046152",2018-12-25,2019-01-15,2019-02-04 00:00:00,7,13,"BLACK HOOD","RT","D-A2","1",41,21,"Original shipment date 2019-01-29 (held 1 week due to heat)",NA
"5","Kalivas_Italy","01","72802_2","72784_1","IT009","73775_1","M","933000320046167",2018-12-25,2019-01-15,2019-02-04 00:00:00,7,14,"BROWN HOOD","LT","D-A3","1",41,21,"Original shipment date 2019-01-29 (held 1 week due to heat)",NA
"6","Kalivas_Italy","01","72792_2","72778_3","IT010","73773_1","M","933000320046165",2018-12-25,2019-01-15,2019-02-04 00:00:00,7,13,"ALBINO","RM","D-A3","1",41,21,"Original shipment date 2019-01-29 (held 1 week due to heat)",NA
"7","Kalivas_Italy","01","72790_2","72805_1","IT013","73774_1","M","933000320045969",2018-12-26,2019-01-16,2019-02-04 00:00:00,8,9,"BLACK HOOD","LT","D-A4","1",40,21,"Original shipment date 2019-01-29 (held 1 week due to heat)",NA
"8","Kalivas_Italy","01","73169_2","73398_2","IT014","73781_1","M","933000320045952",2018-12-26,2019-01-16,2019-02-04 00:00:00,2,14,"BROWN","RM","D-A4","1",40,21,"Original shipment date 2019-01-29 (held 1 week due to heat)",NA
"9","Kalivas_Italy","01","73192_2","73167_1","IT017","73780_1","M","933000320045965",2018-12-26,2019-01-16,2019-02-04 00:00:00,2,13,"ALBINO","LB","D-A5","2",40,21,"Original shipment date 2019-01-29 (held 1 week due to heat)",NA
"10","Kalivas_Italy","01","73165_2","73168_1","IT018","73778_1","M","933000320045956",2018-12-26,2019-01-16,2019-02-04 00:00:00,2,6,"BLACK HOOD","RC","D-A5","2",40,21,"Original shipment date 2019-01-29 (held 1 week due to heat)",NA
"11","Kalivas_Italy","01","73425_1","73194_1","IT021","73785_3","M","933000320045962",2018-12-26,2019-01-16,2019-02-04 00:00:00,1,14,"BLACK","LT","D-A6","2",40,21,"Original shipment date 2019-01-29 (held 1 week due to heat)",NA
"12","Kalivas_Italy","01","72785_2","72787_1","IT025","73779_1","M","933000320046239",2018-12-27,2019-01-17,2019-02-04 00:00:00,7,10,"BLACK","LM","D-A7","2",39,21,"Original shipment date 2019-01-29 (held 1 week due to heat)",NA
